"filename", "language", "JSON with Comments", "TypeScript", "JSON", "TypeScript JSX", "PostCSS", "XML", "HTML", "JavaScript", "Properties", "comment", "blank", "total"
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\shared\types\productTypes.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\shared\types\types.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\shared\utils\VariantElementsFactory.tsx", "TypeScript JSX", 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 12, 65
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\shared\utils\utils.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\store\modalStore.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\store\productStore.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 8, 51
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\store\userStore.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\styles\apptailwind.css", "PostCSS", 0, 0, 0, 0, 72, 0, 0, 0, 0, 4, 14, 90
"d:\vscode\js\frontend mentor\product-list-with-cart\client\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\vscode\js\frontend mentor\product-list-with-cart\client\tsconfig.app.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 2, 3, 39
"d:\vscode\js\frontend mentor\product-list-with-cart\client\tsconfig.json", "JSON with Comments", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\vscode\js\frontend mentor\product-list-with-cart\client\tsconfig.node.json", "JSON", 0, 0, 20, 0, 0, 0, 0, 0, 0, 2, 3, 25
"d:\vscode\js\frontend mentor\product-list-with-cart\client\vite.config.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 1, 2, 29
"Total", "-", 7, 212, 5203, 1549, 72, 2, 12, 27, 2, 10, 288, 7384
